GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
diplom_1,praktikum,IngredientType,0,15,0,0,0,3,0,1,0,1
diplom_1,praktikum,Burger,0,133,0,4,0,23,0,9,0,7
